crossover_rate_subtree,crossover_rate_node_level,mutation_rate,tournament_size,experiment,generation,test_score,population
0.5,0.7,0.4,8,1,20,-206.96046218882287,40
0.5,0.7,0.4,8,1,21,-353.07258700169086,40
0.5,0.7,0.4,8,1,22,-283.4911683654064,40
0.5,0.7,0.4,8,1,23,-413.14061697614517,40
0.5,0.7,0.4,8,1,24,-314.85213476375264,40
0.5,0.7,0.4,8,1,25,-283.4911683654064,40
0.5,0.7,0.4,8,2,0,-1445.2089754369526,40
0.5,0.7,0.4,8,2,1,-1445.2089754369526,40
0.5,0.7,0.4,8,2,2,-1385.7478400602602,40
0.5,0.7,0.4,8,2,3,-2461.0230376549985,40
0.5,0.7,0.4,8,2,4,-1392.4777699036558,40
0.5,0.7,0.4,8,2,5,-891.4889820429464,40
0.5,0.7,0.4,8,2,6,-528.2887665330121,40
0.5,0.7,0.4,8,2,7,-681.1684421987093,40
0.5,0.7,0.4,8,2,8,-681.1684421987093,40
0.5,0.7,0.4,8,2,9,-374.0147437072374,40
0.5,0.7,0.4,8,2,10,-305.9582064923126,40
0.5,0.7,0.4,8,2,11,-374.0147437072374,40
0.5,0.7,0.4,8,2,12,-239.10741879410293,40
0.5,0.7,0.4,8,2,13,-210.13274898209352,40
0.5,0.7,0.4,8,2,14,-221.72959561472032,40
0.5,0.7,0.4,8,2,15,-210.13274898209352,40
0.5,0.7,0.4,8,2,16,-108.02516036808254,40
0.5,0.7,0.4,8,2,17,-158.405111980224,40
0.5,0.7,0.4,8,2,18,-106.18961243976378,40
0.5,0.7,0.4,8,2,19,-195.69367370085854,40
0.5,0.7,0.4,8,2,20,-47.88380843448743,40
0.5,0.7,0.4,8,2,21,-370.42685315441713,40
0.5,0.7,0.4,8,2,22,-96.9531167629811,40
0.5,0.7,0.4,8,2,23,-119.34605584380074,40
0.5,0.7,0.4,8,2,24,-195.6802151700665,40
0.5,0.7,0.4,8,2,25,-199.92761521939138,40
0.5,0.7,0.4,8,3,0,-1397.7067479845678,40
0.5,0.7,0.4,8,3,1,-1395.3990619702372,40
